schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
080891450222012,PK K 1 2 3 4,56.3,247,"4,115",88.3,,19.3,20.5
080891450222015,5 6 7 8,40.9,492,"4,115",65.0,,19.3,20.5
080891450222017,K 1 2 3 4,49.5,313,"4,115",73.2,,19.3,20.5
080892000260001,9 10 11 12,4.2,167,493,27.5,22.0,22.0,20.5
080892000261001,7 8,5.2,77,493,27.3,,22.0,20.5
080892000262001,PK K 1 2 3 4 5 6,9.2,249,493,32.9,,22.0,20.5
080892010260001,7 8 9 10 11 12,6.7,388,842,30.7,21.7,21.7,20.5
080892010262003,PK K 1 2 3 4 5 6,9.3,454,842,39.0,,21.7,20.5
080892020260001,9 10 11 12,5.9,256,837,41.0,21.1,21.1,20.5
080892020261002,6 7 8,4.9,162,837,34.6,,21.1,20.5
080892020262003,PK K 1 2 3 4 5,8.1,419,837,42.2,,21.1,20.5
080892030260001,9 10 11 12,4.3,115,371,30.4,20.1,20.1,20.5
080892030261001,7 8,3.6,56,371,28.6,,20.1,20.5
080892030262003,PK K 1 2 3 4 5 6,6.0,200,371,36.0,,20.1,20.5
090100010260001,7 8 9 10 11 12,6.1,280,608,33.2,21.8,21.8,20.5
090100010262002,K 1 2 3 4 5 6,9.8,328,608,41.8,,21.8,20.5
090100030260001,9 10 11 12,7.2,964,"3,045",23.0,23.7,23.7,20.5
090100030261002,6 7 8,9.4,671,"3,045",23.2,,23.7,20.5
090100030262003,3 4 5,7.5,691,"3,045",25.2,,23.7,20.5
090100030262004,1 2,11.4,431,"3,045",26.5,,23.7,20.5
090100030262005,PK K,11.1,288,"3,045",34.7,,23.7,20.5
090100040260001,9 10 11 12,55.5,"1,494","9,948",55.0,20.1,20.2,20.5
090100040260002,9 10 11 12,52.4,"1,259","9,948",48.2,20.5,20.2,20.5
090100040261003,6 7 8,56.0,716,"9,948",60.6,,20.2,20.5
090100040261005,6 7 8,59.5,721,"9,948",64.4,,20.2,20.5
090100040261007,6 7 8,72.5,676,"9,948",63.0,,20.2,20.5
090100040262007,K 1 2 3 4 5,53.3,469,"9,948",49.9,,20.2,20.5
090100040262008,K 1 2 3 4 5,53.2,472,"9,948",47.7,,20.2,20.5
090100040262010,K 1 2 3 4 5,73.8,416,"9,948",69.0,,20.2,20.5
090100040262011,K 1 2 3 4 5,87.0,548,"9,948",68.1,,20.2,20.5
090100040262013,K 1 2 3 4 5,54.6,357,"9,948",65.3,,20.2,20.5
090100040262017,K 1 2 3 4 5,49.0,410,"9,948",51.0,,20.2,20.5
090100040262020,K 1 2 3 4 5,74.8,365,"9,948",57.0,,20.2,20.5
090100040262021,K 1 2 3 4 5,54.7,424,"9,948",53.3,,20.2,20.5
090100040262024,K 1 2 3 4 5,40.1,294,"9,948",42.2,,20.2,20.5
090100040262026,K 1 2 3 4 5,84.7,470,"9,948",76.0,,20.2,20.5
090100040262027,K 1 2 3 4 5,63.8,473,"9,948",49.3,,20.2,20.5
090100040262028,K 1 2,82.7,98,"9,948",76.5,,20.2,20.5
090100070260007,9 10 11 12,4.9,507,"1,702",25.4,21.3,21.3,20.5
090100070261005,6 7 8,8.7,415,"1,702",40.5,,21.3,20.5
090100070262006,K 1 2 3 4 5,8.3,471,"1,702",39.5,,21.3,20.5
090100070262007,PK K 1 2 3 4 5,6.1,309,"1,702",37.5,,21.3,20.5
090100080260001,9 10 11 12,4.1,148,467,32.4,19.5,19.5,20.5
090100080262001,K 1 2 3 4 5 6 7 8,8.2,319,467,45.1,,19.5,20.5
090101160220001,9 10 11 12,57.5,"1,098","4,418",64.8,19.9,19.9,20.5
090101160221002,6 7 8,62.4,956,"4,418",71.0,,19.9,20.5
090101160222004,K 1 2 3 4 5,89.8,324,"4,418",91.0,,19.9,20.5
090101160222005,K 1 2 3 4 5,52.1,401,"4,418",56.1,,19.9,20.5
090101160222007,K 1 2 3 4 5,81.0,415,"4,418",89.6,,19.9,20.5
090101160222008,K 1 2 3 4 5,50.8,297,"4,418",67.0,,19.9,20.5
090101160222012,K 1 2 3 4 5,44.9,332,"4,418",63.6,,19.9,20.5
090101160222013,K 1 2 3 4 5,64.8,284,"4,418",75.7,,19.9,20.5
090101300042001,PK K 1 2 3 4 5 6 7 8,27.3,165,165,72.7,,,20.5
090101370021003,6 7 8,64.3,479,"1,664",99.8,,,20.5
090101370022001,PK 3 4 5,53.1,322,"1,664",99.4,,,20.5
090101370022002,K 1 2,54.3,243,"1,664",99.6,,,20.5
090101370022006,3 4 5,65.9,267,"1,664",98.9,,,20.5
090101370022007,PK K 1 2,72.5,353,"1,664",99.7,,,20.5
090101420042001,K 1 2 3 4 5 6 7 8,30.8,78,78,98.7,,,20.5
090101690041001,5 6 7 8,6.5,383,894,15.9,,,20.5
090101690042001,PK K 1 2 3 4,8.2,511,894,19.0,,,20.5
090101880042001,K 1 2 3 4 5 6 7 8,2.5,198,198,28.8,,,20.5
090101930170001,9 10 11 12,49.7,740,740,64.6,18.4,18.4,20.5
090101970041001,7 8,3.8,53,241,13.2,,,20.5
090101970042001,K 1 2 3,5.2,58,241,15.5,,,20.5
090101970042002,K 1 2 3 4 5 6,5.4,130,241,21.5,,,20.5
090103050160001,9 10 11 12,4.5,462,462,9.1,21.3,21.3,20.5
090270050260001,9 10 11 12,4.5,312,"1,041",37.5,20.0,20.0,20.5
090270050261003,6 7 8,5.7,261,"1,041",40.2,,20.0,20.5
090270050262004,PK K 1 2 3 4 5,7.3,468,"1,041",44.9,,20.0,20.5
090270100260001,9 10 11 12,7.7,442,"1,388",37.6,20.3,20.3,20.5
090270100261002,6 7 8,6.4,346,"1,388",49.7,,20.3,20.5
090270100262004,PK K 1 2,10.9,294,"1,388",57.1,,20.3,20.5
090270100262005,3 4 5,9.2,306,"1,388",55.6,,20.3,20.5
11012002C260001,9 10 11 12,4.9,432,"1,404",38.7,20.3,20.3,20.5
11012002C261002,7 8,4.8,209,"1,404",42.1,,20.3,20.5
11012002C262003,3 4 5 6,4.7,379,"1,404",43.8,,20.3,20.5
11012002C262005,PK K 1 2,6.1,311,"1,404",52.1,,20.3,20.5
11012003C260001,7 8 9 10 11 12,1.8,163,401,56.4,19.4,19.4,20.5
11012003C262005,PK K 1 2 3 4 5 6,2.5,238,401,58.0,,19.4,20.5
11012004C260001,7 8 9 10 11 12,4.5,441,949,52.8,19.1,19.1,20.5
11012004C262003,PK K 1 2 3 4 5 6,3.5,508,949,98.4,,19.1,20.5
110150010260001,9 10 11 12,8.1,828,"2,818",42.4,21.0,21.0,20.5
110150010261002,7 8,9.2,412,"2,818",45.9,,21.0,20.5
110150010262003,1 2 3,14.1,568,"2,818",56.2,,21.0,20.5
110150010262004,PK 4 5 6,10.0,699,"2,818",51.9,,21.0,20.5
110150010262006,PK K,16.7,215,"2,818",62.3,,21.0,20.5
110150010262007,K 1 2 3 4,5.2,96,"2,818",55.2,,21.0,20.5
110150020260001,9 10 11 12,10.8,"1,063","3,421",51.6,19.9,19.9,20.5
110150020261003,6 7 8,11.2,766,"3,421",61.0,,19.9,20.5
110150020262015,K 1 2 3 4 5,16.2,751,"3,421",66.0,,19.9,20.5
110150020262016,PK K 1 2 3 4 5,7.6,792,"3,421",64.8,,19.9,20.5
110150050260002,9 10 11 12,3.4,87,290,52.9,20.5,20.5,20.5
110150050262001,PK K 1 2 3 4 5 6 7 8,6.4,203,290,50.2,,20.5,20.5
110180030260001,9 10 11 12,4.1,220,683,35.0,20.7,20.7,20.5
110180030262002,PK K 1 2 3,3.2,219,683,38.4,,20.7,20.5
110180030262005,4 5 6 7 8,2.9,244,683,50.8,,20.7,20.5
110180770260001,9 10 11 12,1.7,292,"1,027",44.9,18.6,18.6,20.5
110180770261001,5 6 7 8,3.0,301,"1,027",50.2,,18.6,20.5
110180770262003,PK K 1 2 3 4,2.1,434,"1,027",43.3,,18.6,20.5
110213010260001,9 10 11 12,6.2,306,"1,007",28.4,19.9,19.9,20.5
110213010261004,5 6 7 8,5.8,309,"1,007",38.5,,19.9,20.5
110213010262002,PK K 1 2 3 4,8.2,392,"1,007",48.0,,19.9,20.5
110213020260001,9 10 11 12,6.1,196,683,38.8,20.8,20.8,20.5
110213020261001,7 8,1.8,109,683,42.2,,20.8,20.5
110213020262001,PK K 1 2 3 4 5 6,6.1,378,683,47.4,,20.8,20.5
110213050260001,9 10 11 12,5.6,269,"1,230",33.8,21.9,21.9,20.5
110213050262003,PK K 1 2 3 4 5 6 7 8,5.9,442,"1,230",42.8,,21.9,20.5
110213050262004,PK K 1 2 3 4 5 6 7 8,5.3,226,"1,230",58.8,,21.9,20.5
110213050262005,PK K 1 2 3 4 5 6 7 8,3.4,293,"1,230",56.7,,21.9,20.5
110213060260001,7 8 9 10 11 12,48.5,332,757,49.1,17.9,17.9,20.5
110213060262002,PK K 1 2 3 4 5 6,47.3,425,757,48.5,,17.9,20.5
110230010260001,7 8 9 10 11 12,5.4,186,407,54.8,19.1,19.1,20.5
110230010262002,PK K 1 2 3 4 5 6,6.8,221,407,62.0,,19.1,20.5
110230030260001,7 8 9 10 11 12,4.4,113,222,48.7,20.3,20.3,20.5
110230030262002,PK K 1 2 3 4 5 6,0.9,109,222,55.0,,20.3,20.5
110230040260002,9 10 11 12,5.0,222,692,18.5,21.9,21.9,20.5
110230040261001,6 7 8,2.1,144,692,36.8,,21.9,20.5
110230040262001,PK K 1 2 3 4 5,5.5,326,692,42.3,,21.9,20.5
110230060260001,9 10 11 12,1.8,111,351,44.1,19.6,19.6,20.5
110230060261001,6 7 8,2.7,75,351,38.7,,19.6,20.5
110230060262003,PK K 1 2 3 4 5,2.4,165,351,52.7,,19.6,20.5
110230950250002,9 10 11 12,2.3,386,"1,383",45.1,18.2,18.2,20.5
110230950251001,6 7 8,5.0,282,"1,383",63.5,,18.2,20.5
110230950252003,PK K 1 2,5.0,340,"1,383",63.8,,18.2,20.5
110230950252006,3 4 5,5.2,287,"1,383",73.2,,18.2,20.5
110703000260004,9 10 11 12,5.7,350,"1,141",42.0,20.2,20.2,20.5
110703000261001,6 7 8,6.4,249,"1,141",48.6,,20.2,20.5
110703000262001,PK K 1 2 3 4 5,5.9,542,"1,141",54.2,,20.2,20.5
110703020260001,9 10 11 12,1.7,176,545,42.6,19.2,19.2,20.5
110703020261001,5 6 7 8,5.0,160,545,48.8,,19.2,20.5
110703020262001,PK K 1 2 3 4,4.8,209,545,42.1,,19.2,20.5
110870010260002,7 8 9 10 11 12,2.7,148,376,48.0,21.4,21.4,20.5
110870010262002,PK K 1 2 3 4 5 6,4.4,228,376,57.5,,21.4,20.5
11087003A260001,6 7 8 9 10 11 12,0.9,221,431,63.3,17.7,17.7,20.5
11087003A262001,K 1 2 3 4 5,1.1,180,431,72.8,,17.7,20.5
110870040260001,9 10 11 12,1.5,391,"1,233",38.9,20.5,20.5,20.5
110870040262002,4 5 6 7 8,3.7,438,"1,233",56.4,,20.5,20.5
110870040262003,PK 1 2 3,3.8,319,"1,233",58.0,,20.5,20.5
110870040262006,K,3.5,85,"1,233",45.9,,20.5,20.5
11087005A260001,9 10 11 12,2.7,111,338,34.2,20.0,20.0,20.5
11087005A262003,K 1 2 3 4 5 6 7 8,1.8,227,338,38.3,,20.0,20.5
110870210260001,9 10 11 12,5.9,269,807,34.9,20.0,20.0,20.5
110870210261001,6 7 8,9.8,194,807,52.6,,20.0,20.5
110870210262001,3 4 5,3.5,173,807,44.5,,20.0,20.5
110870210262002,K 1 2,4.7,171,807,40.4,,20.0,20.5
120130100260002,9 10 11 12,0.0,75,331,48.0,18.0,18.0,20.5
120130100261001,6 7 8,7.4,54,331,57.4,,18.0,20.5
120130100262001,PK K 1 2 3 4 5,3.5,202,331,68.3,,18.0,20.5
120130250260001,9 10 11 12,0.0,172,651,36.6,19.0,19.0,20.5
120130250262004,PK K 1 2 3 4 5 6 7 8,1.9,479,651,37.2,,19.0,20.5
120130350260001,9 10 11 12,4.0,352,"1,373",50.0,19.1,19.1,20.5
120130350261001,6 7 8,5.4,297,"1,373",58.9,,19.1,20.5
120130350262001,K 1 2 3 4,4.9,123,"1,373",59.3,,19.1,20.5
120130350262002,K 1 2 3,5.1,256,"1,373",67.2,,19.1,20.5
120130350262005,4 5,5.4,167,"1,373",59.3,,19.1,20.5
120130350262006,PK K,3.4,178,"1,373",62.9,,19.1,20.5
120170010260001,9 10 11 12,1.9,108,348,40.7,18.1,18.1,20.5
120170010262002,PK K 1 2 3 4 5 6 7 8,3.7,240,348,57.5,,18.1,20.5
120170020260001,9 10 11 12,9.4,480,"1,626",47.3,20.3,20.3,20.5
120170020261005,6 7 8,10.1,338,"1,626",50.0,,20.3,20.5
120170020262004,3 4 5,7.5,372,"1,626",54.6,,20.3,20.5
120170020262007,PK K 1 2,6.9,436,"1,626",56.7,,20.3,20.5
120170030260001,9 10 11 12,0.9,116,351,30.2,19.6,19.6,20.5
120170030262002,PK K 1 2 3 4 5 6 7 8,2.6,235,351,49.8,,19.6,20.5
120170040260001,9 10 11 12,5.7,192,614,38.0,19.3,19.3,20.5
120170040262002,PK K 1 2 3 4 5 6 7 8,4.7,422,614,54.5,,19.3,20.5
120400010260001,9 10 11 12,2.0,450,"1,422",40.0,20.2,20.2,20.5
120400010261003,7 8,4.1,219,"1,422",50.7,,20.2,20.5
120400010262002,1 2 3 4 5 6,3.6,591,"1,422",49.9,,20.2,20.5
120400010262011,PK K,5.6,162,"1,422",42.6,,20.2,20.5
120510100260001,7 8 9 10 11 12,3.5,426,"1,046",51.4,19.5,19.5,20.5
120510100262005,PK K 1 2 3,2.6,387,"1,046",62.8,,19.5,20.5
120510100262008,4 5 6,4.3,233,"1,046",63.5,,19.5,20.5
120510200260008,9 10 11 12,5.2,343,"1,231",49.6,18.5,18.5,20.5
120510200261007,6 7 8,9.4,255,"1,231",61.6,,18.5,20.5
120510200262007,PK K 1 2 3 4 5,3.5,633,"1,231",55.6,,18.5,20.5
120800010260001,9 10 11 12,5.8,725,"2,450",45.7,19.3,19.3,20.5
120800010261002,6 7 8,7.7,568,"2,450",63.0,,19.3,20.5
120800010262008,PK K 1 2 3 4 5,8.9,"1,003","2,450",63.9,,19.3,20.5
120800010262009,PK K 1 2 3 4 5,3.9,154,"2,450",72.7,,19.3,20.5
130140010260001,9 10 11 12,7.8,347,"1,181",38.9,18.8,18.8,20.5
130140010261001,5 6 7 8,7.7,390,"1,181",44.9,,18.8,20.5
130140010262002,PK K 1 2 3 4,7.9,444,"1,181",49.8,,18.8,20.5
130140030260006,9 10 11 12,9.8,410,"1,323",26.3,20.6,20.6,20.5
130140030262001,PK K 1 2 3,7.4,203,"1,323",38.9,,20.6,20.5
130140030262005,K 1 2 3,21.6,236,"1,323",62.3,,20.6,20.5
130140030262006,4 5 6 7 8,13.9,474,"1,323",38.2,,20.6,20.5
130140120042001,PK K 1 5 6 7 8,8.3,458,643,37.3,,,20.5
130140120042002,2 3 4,9.7,185,643,41.1,,,20.5
130140210022001,PK K 1 2 3 4 5 6 7 8,5.1,395,395,16.5,,,20.5
130140460022001,PK K 1 2 3 4 5 6 7 8,11.3,186,186,65.6,,,20.5
130140570022001,PK K 1 2 3 4 5 6 7 8,1.3,156,156,7.7,,,20.5
130140600022001,PK K 1 2 3 4 5 6 7 8,3.5,260,260,16.9,,,20.5
130140620022001,PK K 1 2 3 4 5 6 7 8,20.9,110,110,34.5,,,20.5
130140630022001,PK K 1 2 3 4 5 6 7 8,10.5,191,191,23.0,,,20.5
130140710160001,9 10 11 12,4.7,554,554,23.3,20.7,20.7,20.5
130141415022001,PK K 1 2 3 4 5 6 7 8,3.4,149,149,19.5,,,20.5
130141860022001,K 1 2 3 4 5 6 7 8,19.4,139,139,89.9,,,20.5
130410010260001,9 10 11 12,0.9,112,377,36.6,20.8,20.8,20.5
130410010262002,PK K 1 2 3 4 5 6 7 8,2.6,265,377,38.9,,20.8,20.5
130410020042001,PK K 1 2 3 4 5 6 7 8,6.0,351,351,43.9,,,20.5
130410030042001,PK K 1 2 3 4 5 6 7 8,3.2,315,315,41.6,,,20.5
130410040042001,PK K 1 2 3 4 5 6 7 8,6.2,356,356,47.2,,,20.5
130410050042002,K 1 2 3 4 5 6 7 8,6.3,191,191,70.7,,,20.5
130410060042001,K 1 2 3 4 5 6 7 8,9.9,81,81,98.8,,,20.5
130410070042001,K 1 2 3 4 5 6 7 8,4.5,134,134,45.5,,,20.5
130410080042001,K 1 2 3 4 5 6 7 8,7.5,107,107,63.6,,,20.5
130410120042001,K 1 2 3 4 5 6 7 8,0.0,60,60,55.0,,,20.5
130410790022001,PK K 1 2 3 4 5 6 7 8,6.0,265,265,50.6,,,20.5
130410800021001,6 7 8,38.3,418,"1,629",77.8,,,20.5
130410800022002,4 5,45.7,265,"1,629",84.2,,,20.5
130410800022008,K 1 2 3,44.4,684,"1,629",84.9,,,20.5
130410820022001,PK K 1 2 3 4 5 6 7 8,22.4,165,165,84.2,,,20.5
130410990042001,K 1 2 3 4 5 6 7 8,9.7,72,72,52.8,,,20.5
130411140042001,PK K 1 2 3 4 5 6 7 8,1.1,285,285,52.3,,,20.5
130412010170001,9 10 11 12,26.2,"1,235","1,235",53.8,18.7,18.7,20.5
130412040170001,9 10 11 12,3.0,134,134,45.5,18.0,18.0,20.5
130412050160001,9 10 11 12,5.0,161,161,34.2,20.6,20.6,20.5
130580010032001,PK K 1 2 3 4 5 6 7 8,6.7,252,252,69.0,,,20.5
130580020032001,PK K 1 2 3 4 5 6 7 8,6.0,117,117,53.8,,,20.5
130580070042001,PK K 1 2 3 4 5 6 7 8,4.6,217,217,52.1,,,20.5
130580100042003,K 1 2 3 4 5 6 7 8,5.8,223,223,43.9,,,20.5
130581000260002,9 10 11 12,1.4,71,256,62.0,18.7,18.7,20.5
130581000261001,7 8,0.0,33,256,57.6,,18.7,20.5
130581000262001,PK K 1 2 3 4 5 6,0.7,152,256,50.0,,18.7,20.5
130581110022004,K 1 2 3,5.3,454,"1,052",64.1,,,20.5
130581110022005,PK 4 5 6 7 8,6.7,598,"1,052",54.2,,,20.5
130581330022001,PK K 1 2 3 4 5 6 7 8,12.1,297,297,57.2,,,20.5
130581350021001,5 6 7 8,28.7,533,"1,350",99.4,,,20.5
130581350022003,PK K,34.1,173,"1,350",100.0,,,20.5
130581350022006,1 2 3,30.2,248,"1,350",99.6,,,20.5
130581350022007,4,23.5,149,"1,350",100.0,,,20.5
130581350022008,1 2 3,19.4,211,"1,350",100.0,,,20.5
130582000170001,9 10 11 12,21.8,935,935,66.1,18.6,18.6,20.5
130584010260001,9 10 11 12,1.5,200,681,58.0,19.3,19.3,20.5
130584010261001,5 6 7 8,2.4,206,681,68.4,,19.3,20.5
130584010262002,PK K 1 2 3 4,2.2,275,681,65.5,,19.3,20.5
130585010260001,9 10 11 12,5.9,152,509,72.4,18.0,18.0,20.5
130585010261002,7 8,6.2,64,509,78.1,,18.0,20.5
130585010262002,PK K 1 2 3 4 5 6,6.5,293,509,82.9,,18.0,20.5
130586000160001,9 10 11 12,5.3,739,739,47.9,20.1,20.1,20.5
130587220260001,9 10 11 12,5.1,79,304,63.3,18.5,18.5,20.5
130587220262001,PK K 1 2 3 4 5 6 7 8,6.7,225,304,70.7,,18.5,20.5
130950010042001,K 1 2 3 4 5 6 7 8,4.1,74,74,41.9,,,20.5
130950100260001,7 8 9 10 11 12,5.0,242,560,30.2,20.6,20.6,20.5
130950100262003,PK K 1 2 3 4 5 6,4.1,318,560,34.3,,20.6,20.5
130950110042001,K 1 2 3 4 5 6 7 8,19.3,57,57,63.2,,,20.5
130950150042001,PK K 1 2 3 4 5 6 7 8,4.0,149,149,63.8,,,20.5
130950290032001,K 1 2 3 4 5 6 7 8,11.1,54,54,72.2,,,20.5
130950490042002,PK K 1 2 3 4 5 6 7 8,5.1,549,549,40.8,,,20.5
130950990160001,9 10 11 12,9.3,408,408,28.2,21.1,21.1,20.5
150162990250001,9 10 11 12,88.4,"1,157","397,833",92.8,17.0,18.2,20.5
150162990250003,9 10 11 12,97.5,"1,081","397,833",92.4,15.7,18.2,20.5
150162990250006,9 10 11 12,99.6,502,"397,833",95.4,17.7,18.2,20.5
150162990250008,12,100.0,95,"397,833",93.7,14.6,18.2,20.5
150162990250011,PK 9 10 11 12,99.5,"1,119","397,833",98.8,15.9,18.2,20.5
150162990250012,9 10 11 12,100.0,498,"397,833",97.0,14.4,18.2,20.5
150162990250013,9 10 11 12,95.2,"1,381","397,833",96.2,16.1,18.2,20.5
150162990250014,9 10,98.0,549,"397,833",98.7,,18.2,20.5
150162990250015,9 10 11 12,99.2,659,"397,833",97.9,15.3,18.2,20.5
150162990250016,7 8 9 10 11 12,100.0,924,"397,833",93.9,15.7,18.2,20.5
150162990250017,9 10 11 12,99.8,502,"397,833",98.0,14.3,18.2,20.5
150162990250019,9 10 11 12,99.2,387,"397,833",96.4,14.4,18.2,20.5
150162990250020,9 10 11 12,96.8,"1,807","397,833",97.6,17.7,18.2,20.5
150162990250021,9 10 11 12,100.0,"1,084","397,833",97.0,15.4,18.2,20.5
150162990250022,9 10 11 12,98.0,"2,300","397,833",96.9,16.8,18.2,20.5
150162990250023,7 8 9 10 11 12,98.0,959,"397,833",95.7,15.9,18.2,20.5
150162990250024,9 10 11 12,74.0,"1,599","397,833",85.4,18.7,18.2,20.5
150162990250025,7 8 9 10 11 12,97.6,"1,792","397,833",73.8,19.5,18.2,20.5
150162990250026,9 10 11 12,88.3,"1,349","397,833",88.7,18.5,18.2,20.5
150162990250027,7 8 9 10 11 12,66.6,"3,995","397,833",59.4,24.4,18.2,20.5
150162990250029,9 10 11 12,100.0,736,"397,833",91.3,14.7,18.2,20.5
150162990250030,9 10 11 12,79.1,"1,716","397,833",90.2,17.0,18.2,20.5
150162990250031,7 8 9 10 11 12,96.6,"1,519","397,833",85.2,17.9,18.2,20.5
150162990250034,9 10 11 12,99.7,785,"397,833",95.4,15.0,18.2,20.5
150162990250035,9 10 11 12,94.5,"1,445","397,833",96.5,15.7,18.2,20.5
150162990250036,9 10 11 12,94.0,"2,510","397,833",93.5,16.4,18.2,20.5
150162990250037,9 10 11 12,89.3,"1,403","397,833",88.6,18.5,18.2,20.5
150162990250039,9 10 11 12,99.7,697,"397,833",80.6,20.6,18.2,20.5
15016299025003C,6 7 8 9 10 11 12,99.4,"2,007","397,833",94.7,17.2,18.2,20.5
150162990250041,9 10 11 12,89.8,"1,865","397,833",93.0,16.8,18.2,20.5
150162990250042,9 10 11 12,95.3,659,"397,833",94.8,15.8,18.2,20.5
150162990250043,7 8 9 10 11 12,51.0,"3,342","397,833",62.5,19.2,18.2,20.5
150162990250044,9 10 11 12,88.6,429,"397,833",96.7,14.6,18.2,20.5
150162990250046,9 10 11 12,81.9,"1,664","397,833",79.3,19.7,18.2,20.5
150162990250047,9 10 11 12,72.0,"2,292","397,833",59.9,22.4,18.2,20.5
150162990250048,9 10 11 12,94.1,"1,494","397,833",92.8,16.9,18.2,20.5
150162990250049,9 10 11 12,97.1,617,"397,833",94.8,15.7,18.2,20.5
15016299025004C,10 11 12,98.5,"3,906","397,833",97.1,14.7,18.2,20.5
150162990250052,9 10,99.4,330,"397,833",89.4,,18.2,20.5
150162990250053,7 8 9 10,77.3,490,"397,833",66.3,,18.2,20.5
15016299025005C,9 10 11 12,99.9,820,"397,833",96.5,16.0,18.2,20.5
15016299025006C,6 7 8 9 10 11 12,98.9,10195,"397,833",91.6,20.0,18.2,20.5
15016299025007C,8 9 10 11 12,98.5,327,"397,833",91.4,16.8,18.2,20.5
15016299025008C,6 7 8 9 10 11 12,98.3,"1,165","397,833",97.9,15.6,18.2,20.5
15016299025009C,9 10 11 12,97.5,443,"397,833",97.7,15.4,18.2,20.5
15016299025010C,9 10 11 12,100.0,472,"397,833",82.4,16.6,18.2,20.5
15016299025011C,12,100.0,95,"397,833",98.9,16.9,18.2,20.5
15016299025012C,9 10 11 12,99.2,769,"397,833",97.5,17.4,18.2,20.5
15016299025013C,9 10 11 12,100.0,470,"397,833",85.1,17.4,18.2,20.5
15016299025015C,9 10 11 12,99.8,422,"397,833",96.2,16.6,18.2,20.5
15016299025016C,9 10 11 12,100.0,412,"397,833",90.3,16.9,18.2,20.5
15016299025017C,9 10 11 12,100.0,240,"397,833",97.1,14.1,18.2,20.5
15016299025019C,9 10 11,99.6,249,"397,833",97.2,,18.2,20.5
15016299025020C,10 11 12,96.5,229,"397,833",96.5,,18.2,20.5
15016299025022C,7 9 10,92.2,448,"397,833",84.8,,18.2,20.5
150162990250526,9 10 11 12,99.9,"1,005","397,833",96.8,14.8,18.2,20.5
150162990250531,9 10 11 12,99.8,987,"397,833",99.1,14.9,18.2,20.5
150162990250533,9 10 11 12,64.2,"1,381","397,833",44.9,27.1,18.2,20.5
150162990250534,9 10 11 12,96.3,"1,451","397,833",95.2,18.7,18.2,20.5
150162990250536,9 10 11 12,98.8,432,"397,833",98.6,14.8,18.2,20.5
150162990250537,9 10 11 12,99.9,"1,369","397,833",93.1,17.1,18.2,20.5
150162990250543,9 10 11 12,99.8,535,"397,833",94.6,14.8,18.2,20.5
150162990250545,9 10 11 12,97.3,825,"397,833",96.0,15.0,18.2,20.5
150162990250616,9 10 11 12,100.0,616,"397,833",93.0,14.5,18.2,20.5
150162990250617,9 10 11 12,97.5,"3,128","397,833",94.9,17.8,18.2,20.5
150162990250763,9 10 11 12,100.0,892,"397,833",95.3,15.2,18.2,20.5
150162990250764,7 8 9 10 11 12,70.1,"2,110","397,833",41.1,27.5,18.2,20.5
150162990250766,9 10 11 12,100.0,569,"397,833",97.9,14.2,18.2,20.5
150162990250767,9 10 11 12,99.1,"1,701","397,833",96.6,16.6,18.2,20.5
150162990250772,9 10 11 12,65.3,617,"397,833",51.7,20.4,18.2,20.5
150162990250779,9 10 11 12,98.0,947,"397,833",96.7,17.4,18.2,20.5
150162990250788,9 10 11 12,99.5,757,"397,833",76.1,23.2,18.2,20.5
150162990250794,9 10 11 12,62.2,"1,028","397,833",41.7,29.6,18.2,20.5
150162990250795,9 10 11 12,98.5,395,"397,833",94.9,17.9,18.2,20.5
150162990250796,9 10 11 12,56.8,874,"397,833",33.6,29.4,18.2,20.5
150162990250798,12,100.0,35,"397,833",94.3,13.9,18.2,20.5
150162990250799,9 10 11 12,99.7,339,"397,833",98.2,14.9,18.2,20.5
150162990250803,9 10 11 12,99.2,501,"397,833",95.2,19.2,18.2,20.5
150162990250818,9 10 11 12,100.0,179,"397,833",98.3,17.0,18.2,20.5
150162990250820,9 10 11 12,77.2,527,"397,833",85.6,17.8,18.2,20.5
150162990250824,9 10 11 12,99.6,534,"397,833",96.3,15.2,18.2,20.5
150162990250825,9 10 11 12,99.4,924,"397,833",97.8,16.6,18.2,20.5
150162990250826,9 10 11 12,100.0,451,"397,833",98.9,14.9,18.2,20.5
150162990250827,7 8 9 10 11 12,100.0,492,"397,833",98.4,16.6,18.2,20.5
150162990250828,9 10 11 12,90.8,552,"397,833",86.8,19.0,18.2,20.5
150162990250829,9 10 11 12,99.0,293,"397,833",95.6,16.9,18.2,20.5
150162990250830,9 10 11 12,99.4,343,"397,833",99.7,16.8,18.2,20.5
150162990250831,9 10 11 12,100.0,428,"397,833",95.8,14.7,18.2,20.5
150162990250832,11 12,92.9,196,"397,833",77.0,21.1,18.2,20.5
150162990250833,7 8 9 10 11 12,98.2,"1,129","397,833",67.2,22.9,18.2,20.5
150162990250834,9 10 11 12,100.0,474,"397,833",95.6,16.5,18.2,20.5
150162990250835,9 10 11 12,99.7,326,"397,833",97.5,16.6,18.2,20.5
150162990250836,9 10 11 12,99.2,266,"397,833",98.1,15.3,18.2,20.5
150162990250837,9 10 11 12,99.4,505,"397,833",96.6,18.1,18.2,20.5
