schid,grades2015,percmin2015,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state
030110030260006,9 10 11 12,5.2,812,"2,645",44.8,20.0,20.0,20.5
030110030261005,5 6 7 8,5.2,785,"2,645",54.9,,20.0,20.5
030110030262001,3 4,7.5,319,"2,645",62.7,,20.0,20.5
030110030262003,PK K 1 2,9.9,536,"2,645",71.3,,20.0,20.5
030110030262005,PK K 1 2 3,6.7,193,"2,645",57.0,,20.0,20.5
030110040260002,9 10 11 12,4.8,84,268,40.5,16.9,16.9,20.5
030110040261001,7 8,2.9,34,268,50.0,,16.9,20.5
030110040262001,PK K 1 2 3 4 5 6,3.3,150,268,44.0,,16.9,20.5
030110080260006,9 10 11 12,2.9,409,"1,321",53.3,18.7,18.7,20.5
030110080261005,6 7 8,3.5,283,"1,321",65.0,,18.7,20.5
030110080262001,3 4 5,4.3,302,"1,321",66.6,,18.7,20.5
030110080262003,PK K 1 2,3.7,327,"1,321",74.0,,18.7,20.5
030110140240001,6 7 8 9 10 11 12,3.3,184,371,57.6,17.2,17.2,20.5
030110140242001,PK K 1 2 3 4 5,6.4,187,371,66.3,,17.2,20.5
030250100260001,9 10 11 12,2.7,260,748,44.2,20.2,20.2,20.5
030250100262002,PK K 1 2 3 4 5 6 7 8,5.7,488,748,56.1,,20.2,20.5
030250200260001,6 7 8 9 10 11 12,2.1,190,345,52.1,19.1,19.1,20.5
030250200262003,PK K 1 2 3 4 5,2.6,155,345,53.5,,19.1,20.5
030250300260001,7 8 9 10 11 12,1.1,190,458,27.9,19.8,19.8,20.5
030250300262002,PK K 1 2 3 4 5 6,3.4,268,458,29.1,,19.8,20.5
030250400260001,9 10 11 12,5.3,823,"2,691",39.2,19.9,19.9,20.5
030250400261001,6 7 8,7.6,579,"2,691",51.6,,19.9,20.5
030250400262002,PK 2 3 4 5,10.5,683,"2,691",54.5,,19.9,20.5
030250400262006,K,5.7,227,"2,691",54.2,,19.9,20.5
030250400262008,1 2,9.5,379,"2,691",57.0,,19.9,20.5
030250500260001,9 10 11 12,0.0,358,"1,094",10.1,21.1,21.1,20.5
030250500261001,7 8,0.6,166,"1,094",18.7,,21.1,20.5
030250500262002,PK K 1 2 3 4 5 6,2.6,570,"1,094",15.8,,21.1,20.5
030262010260003,9 10 11 12,3.7,109,386,49.5,16.1,16.1,20.5
030262010261001,7 8,4.2,48,386,62.5,,16.1,20.5
030262010262001,PK K 1 2 3 4 5 6,4.4,229,386,64.6,,16.1,20.5
030262020260002,9 10 11 12,3.0,134,478,53.0,18.7,18.7,20.5
030262020261001,7 8,7.2,69,478,65.2,,18.7,20.5
030262020262001,PK K 1 2 3 4 5 6,2.9,275,478,64.4,,18.7,20.5
030262030260001,9 10 11 12,2.5,478,"1,501",49.6,18.9,18.9,20.5
030262030261002,5 6 7 8,4.8,440,"1,501",49.3,,18.9,20.5
030262030262004,PK K 1,6.2,291,"1,501",65.3,,18.9,20.5
030262030262008,2 3 4,4.5,292,"1,501",60.6,,18.9,20.5
030262040260002,9 10 11 12,2.1,145,482,61.4,17.5,17.5,20.5
030262040262001,PK K 1 2 3 4 5 6 7 8,2.4,337,482,63.2,,17.5,20.5
030680020260001,9 10 11 12,4.9,142,519,37.3,21.5,21.5,20.5
030680020261002,6 7 8,3.4,118,519,51.7,,21.5,20.5
030680020262003,PK K 1,3.6,112,519,58.0,,21.5,20.5
030680020262005,2 3 4 5,7.5,147,519,55.8,,21.5,20.5
030680030260001,9 10 11 12,4.9,471,"1,820",49.3,18.9,18.9,20.5
030680030261002,6 7 8,3.7,434,"1,820",46.3,,18.9,20.5
030680030262003,PK K 1 2 3 4 5,3.9,662,"1,820",57.1,,18.9,20.5
030680030262006,PK K 1 2 3 4 5,5.1,253,"1,820",73.9,,18.9,20.5
030680120260001,9 10 11 12,7.4,420,"1,496",46.9,18.8,18.8,20.5
030680120261002,6 7 8,8.3,303,"1,496",66.3,,18.8,20.5
030680120262003,2 3,7.6,225,"1,496",64.0,,18.8,20.5
030680120262004,K 1,6.4,219,"1,496",64.4,,18.8,20.5
030680120262006,4 5,8.7,218,"1,496",64.2,,18.8,20.5
030680220260001,6 7 8 9 10 11 12,3.0,328,661,44.8,20.2,20.2,20.5
030680220262003,PK K 1 2 3 4 5,4.2,333,661,55.9,,20.2,20.5
040041000260001,9 10 11 12,47.3,"1,344","8,222",57.4,18.5,19.1,20.5
040041000260002,9 10 11 12,32.6,"1,485","8,222",41.5,19.7,19.1,20.5
040041000261002,6 7 8,51.1,835,"8,222",64.7,,19.1,20.5
040041000261003,6 7 8,37.9,"1,058","8,222",46.7,,19.1,20.5
040041000262003,PK K 1 2 3 4 5,25.9,428,"8,222",44.4,,19.1,20.5
040041000262005,PK K 1 2 3 4 5,54.3,599,"8,222",63.1,,19.1,20.5
040041000262007,K 1 2 3 4 5,43.1,304,"8,222",68.8,,19.1,20.5
040041000262008,PK K 1 2 3 4 5 6 7 8,56.4,870,"8,222",68.3,,19.1,20.5
040041000262009,K 1 2 3 4 5,47.6,643,"8,222",61.3,,19.1,20.5
