schid,nttkreadsch,nttkreaddist,nttkreadstate,nttkmathsch,nttkmathdist,nttkmathstate,tkreadsch,tkmathsch,tkreaddist,tkmathdist,tkreadstate,tkmathstate
200933480261003,0.0,0.9,4.4,7.0,3.3,4.4,100.0,93.0,99.1,96.7,95.6,95.6
200933480262003,,0.9,4.4,,3.3,4.4,,,99.1,96.7,95.6,95.6
200933480262005,0.0,0.9,4.4,0.3,3.3,4.4,100.0,99.7,99.1,96.7,95.6,95.6
200960060042001,1.7,1.7,4.4,1.7,1.7,4.4,98.3,98.3,98.3,98.3,95.6,95.6
200960140042001,3.0,3.0,4.4,3.0,3.0,4.4,97.0,97.0,97.0,97.0,95.6,95.6
200960170042001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
200961000260001,0.0,0.8,4.4,3.1,1.1,4.4,100.0,96.9,99.2,98.9,95.6,95.6
200961000262005,0.9,0.8,4.4,0.9,1.1,4.4,99.1,99.1,99.2,98.9,95.6,95.6
200961120042001,0.0,0.3,4.4,0.3,0.5,4.4,100.0,99.7,99.7,99.5,95.6,95.6
200961120042002,1.5,0.3,4.4,1.5,0.5,4.4,98.5,98.5,99.7,99.5,95.6,95.6
200962000260001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
200962000261001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
200962000262002,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
200962000262003,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
200962250160001,2.7,2.7,4.4,1.2,1.2,4.4,97.3,98.8,97.3,98.8,95.6,95.6
200970010260003,0.0,0.7,4.4,0.0,0.7,4.4,100.0,100.0,99.3,99.3,95.6,95.6
200970010262002,1.2,0.7,4.4,1.2,0.7,4.4,98.8,98.8,99.3,99.3,95.6,95.6
200970030260001,10.2,2.0,4.4,2.2,0.6,4.4,89.8,97.8,98.0,99.4,95.6,95.6
200970030262002,0.8,2.0,4.4,0.4,0.6,4.4,99.2,99.6,98.0,99.4,95.6,95.6
200970030262003,0.0,2.0,4.4,0.0,0.6,4.4,100.0,100.0,98.0,99.4,95.6,95.6
200970050260001,0.0,0.6,4.4,0.0,0.3,4.4,100.0,100.0,99.4,99.7,95.6,95.6
200970050261007,1.0,0.6,4.4,0.5,0.3,4.4,99.0,99.5,99.4,99.7,95.6,95.6
200970050262005,0.0,0.6,4.4,0.0,0.3,4.4,100.0,100.0,99.4,99.7,95.6,95.6
200970050262006,,,,,,,,,99.4,99.7,95.6,95.6
200970050262007,0.7,0.6,4.4,0.3,0.3,4.4,99.3,99.7,99.4,99.7,95.6,95.6
210280470041002,0.6,0.7,4.4,0.9,0.9,4.4,99.4,99.1,99.3,99.1,95.6,95.6
210280470042001,0.9,0.7,4.4,0.9,0.9,4.4,99.1,99.1,99.3,99.1,95.6,95.6
210280910042001,4.0,4.0,4.4,3.9,3.9,4.4,96.0,96.1,96.0,96.1,95.6,95.6
210280990260001,1.5,1.3,4.4,1.8,1.4,4.4,98.5,98.2,98.7,98.6,95.6,95.6
210280990262001,1.3,1.3,4.4,1.3,1.4,4.4,98.7,98.7,98.7,98.6,95.6,95.6
210281030130001,8.9,8.9,4.4,15.5,15.5,4.4,91.1,84.5,91.1,84.5,95.6,95.6
210281150042001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
210281680260001,1.5,1.3,4.4,1.1,1.1,4.4,98.5,98.9,98.7,98.9,95.6,95.6
210281680261002,2.2,1.3,4.4,1.9,1.1,4.4,97.8,98.1,98.7,98.9,95.6,95.6
210281680262003,,,,,,,,,98.7,98.9,95.6,95.6
210281680262004,0.8,1.3,4.4,0.8,1.1,4.4,99.2,99.2,98.7,98.9,95.6,95.6
210281740260001,7.1,0.6,4.4,7.7,0.6,4.4,92.9,92.3,99.4,99.4,95.6,95.6
210281740262001,0.0,0.6,4.4,0.0,0.6,4.4,100.0,100.0,99.4,99.4,95.6,95.6
210281880260001,0.0,1.6,4.4,0.0,1.3,4.4,100.0,100.0,98.4,98.7,95.6,95.6
210281880261001,1.5,1.6,4.4,0.5,1.3,4.4,98.5,99.5,98.4,98.7,95.6,95.6
210281880262003,2.2,1.6,4.4,3.2,1.3,4.4,97.8,96.8,98.4,98.7,95.6,95.6
210281960260001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
210281960261001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
210281960262001,0.0,0.0,4.4,0.0,0.0,4.4,100.0,100.0,100.0,100.0,95.6,95.6
210440010260001,2.2,1.3,4.4,2.2,1.3,4.4,97.8,97.8,98.7,98.7,95.6,95.6
210440010262001,1.2,1.3,4.4,1.2,1.3,4.4,98.8,98.8,98.7,98.7,95.6,95.6
210440320032003,6.7,6.7,4.4,6.7,6.7,4.4,93.3,93.3,93.3,93.3,95.6,95.6
210440430032001,2.2,2.2,4.4,2.2,2.2,4.4,97.8,97.8,97.8,97.8,95.6,95.6
210440550022001,2.0,2.0,4.4,2.0,2.0,4.4,98.0,98.0,98.0,98.0,95.6,95.6
210440640022001,6.0,6.0,4.4,6.0,6.0,4.4,94.0,94.0,94.0,94.0,95.6,95.6
210441330170001,5.7,5.7,4.4,4.4,4.4,4.4,94.3,95.6,94.3,95.6,95.6,95.6
210610010260001,1.7,0.8,4.4,3.4,1.3,4.4,98.3,96.6,99.2,98.7,95.6,95.6
210610010261001,0.3,0.8,4.4,0.6,1.3,4.4,99.7,99.4,99.2,98.7,95.6,95.6
210610010262001,1.3,0.8,4.4,1.3,1.3,4.4,98.7,98.7,99.2,98.7,95.6,95.6
210610010262002,0.9,0.8,4.4,0.9,1.3,4.4,99.1,99.1,99.2,98.7,95.6,95.6
210610010262003,0.3,0.8,4.4,0.7,1.3,4.4,99.7,99.3,99.2,98.7,95.6,95.6
210610010262006,2.3,0.8,4.4,2.3,1.3,4.4,97.7,97.7,99.2,98.7,95.6,95.6
210610010262010,1.1,0.8,4.4,1.1,1.3,4.4,98.9,98.9,99.2,98.7,95.6,95.6
210610380260001,1.8,1.4,4.4,0.0,0.7,4.4,98.2,100.0,98.6,99.3,95.6,95.6
210610380262001,1.1,1.4,4.4,1.1,0.7,4.4,98.9,98.9,98.6,99.3,95.6,95.6
211000010260001,2.1,1.0,4.4,5.7,1.0,4.4,97.9,94.3,99.0,99.0,95.6,95.6
211000010262002,1.1,1.0,4.4,0.5,1.0,4.4,98.9,99.5,99.0,99.0,95.6,95.6
211000010262003,,,,,,,,,99.0,99.0,95.6,95.6
211000010262004,0.0,1.0,4.4,0.0,1.0,4.4,100.0,100.0,99.0,99.0,95.6,95.6
211000020260001,11.8,4.0,4.4,12.8,4.2,4.4,88.2,87.2,96.0,95.8,95.6,95.6
211000020261002,2.1,4.0,4.4,2.5,4.2,4.4,97.9,97.5,96.0,95.8,95.6,95.6
211000020262003,0.0,4.0,4.4,0.0,4.2,4.4,100.0,100.0,96.0,95.8,95.6,95.6
211000020262004,1.4,4.0,4.4,0.7,4.2,4.4,98.6,99.3,96.0,95.8,95.6,95.6
