schid,demschoolwhite,enroll2015,enrolldist2015,lowinc2015,act2015school,actscore2015district,actscore2015state,percmin2015
030030020262005,94.8,172,"1,921",64.5,,20.7,20.5,5.200000000000003
030110010260002,98.9,95,344,26.3,20.4,20.4,20.5,1.0999999999999943
030110010261001,97.9,48,344,43.8,,20.4,20.5,2.0999999999999943
030110010262001,96.5,201,344,40.8,,20.4,20.5,3.5
030110030260006,94.8,812,"2,645",44.8,20.0,20.0,20.5,5.200000000000003
030110030261005,94.8,785,"2,645",54.9,,20.0,20.5,5.200000000000003
030110030262001,92.5,319,"2,645",62.7,,20.0,20.5,7.5
030110030262003,90.1,536,"2,645",71.3,,20.0,20.5,9.900000000000006
030110030262005,93.3,193,"2,645",57.0,,20.0,20.5,6.700000000000003
030110040260002,95.2,84,268,40.5,16.9,16.9,20.5,4.799999999999997
030110040261001,97.1,34,268,50.0,,16.9,20.5,2.9000000000000057
030110040262001,96.7,150,268,44.0,,16.9,20.5,3.299999999999997
030110080260006,97.1,409,"1,321",53.3,18.7,18.7,20.5,2.9000000000000057
030110080261005,96.5,283,"1,321",65.0,,18.7,20.5,3.5
030110080262001,95.7,302,"1,321",66.6,,18.7,20.5,4.299999999999997
030110080262003,96.3,327,"1,321",74.0,,18.7,20.5,3.700000000000003
030110140240001,96.7,184,371,57.6,17.2,17.2,20.5,3.299999999999997
030110140242001,93.6,187,371,66.3,,17.2,20.5,6.400000000000006
030250100260001,97.3,260,748,44.2,20.2,20.2,20.5,2.700000000000003
030250100262002,94.3,488,748,56.1,,20.2,20.5,5.700000000000003
030250200260001,97.9,190,345,52.1,19.1,19.1,20.5,2.0999999999999943
030250200262003,97.4,155,345,53.5,,19.1,20.5,2.5999999999999943
030250300260001,98.9,190,458,27.9,19.8,19.8,20.5,1.0999999999999943
030250300262002,96.6,268,458,29.1,,19.8,20.5,3.4000000000000057
030250400260001,94.7,823,"2,691",39.2,19.9,19.9,20.5,5.299999999999997
030250400261001,92.4,579,"2,691",51.6,,19.9,20.5,7.599999999999994
030250400262002,89.5,683,"2,691",54.5,,19.9,20.5,10.5
030250400262006,94.3,227,"2,691",54.2,,19.9,20.5,5.700000000000003
030250400262008,90.5,379,"2,691",57.0,,19.9,20.5,9.5
030250500260001,100.0,358,"1,094",10.1,21.1,21.1,20.5,0.0
030250500261001,99.4,166,"1,094",18.7,,21.1,20.5,0.5999999999999943
030250500262002,97.4,570,"1,094",15.8,,21.1,20.5,2.5999999999999943
030262010260003,96.3,109,386,49.5,16.1,16.1,20.5,3.700000000000003
030262010261001,95.8,48,386,62.5,,16.1,20.5,4.200000000000003
030262010262001,95.6,229,386,64.6,,16.1,20.5,4.400000000000006
030262020260002,97.0,134,478,53.0,18.7,18.7,20.5,3.0
030262020261001,92.8,69,478,65.2,,18.7,20.5,7.200000000000003
030262020262001,97.1,275,478,64.4,,18.7,20.5,2.9000000000000057
030262030260001,97.5,478,"1,501",49.6,18.9,18.9,20.5,2.5
030262030261002,95.2,440,"1,501",49.3,,18.9,20.5,4.799999999999997
030262030262004,93.8,291,"1,501",65.3,,18.9,20.5,6.200000000000003
030262030262008,95.5,292,"1,501",60.6,,18.9,20.5,4.5
030262040260002,97.9,145,482,61.4,17.5,17.5,20.5,2.0999999999999943
030262040262001,97.6,337,482,63.2,,17.5,20.5,2.4000000000000057
030680020260001,95.1,142,519,37.3,21.5,21.5,20.5,4.900000000000006
030680020261002,96.6,118,519,51.7,,21.5,20.5,3.4000000000000057
030680020262003,96.4,112,519,58.0,,21.5,20.5,3.5999999999999943
030680020262005,92.5,147,519,55.8,,21.5,20.5,7.5
030680030260001,95.1,471,"1,820",49.3,18.9,18.9,20.5,4.900000000000006
030680030261002,96.3,434,"1,820",46.3,,18.9,20.5,3.700000000000003
030680030262003,96.1,662,"1,820",57.1,,18.9,20.5,3.9000000000000057
030680030262006,94.9,253,"1,820",73.9,,18.9,20.5,5.099999999999994
030680120260001,92.6,420,"1,496",46.9,18.8,18.8,20.5,7.400000000000006
030680120261002,91.7,303,"1,496",66.3,,18.8,20.5,8.299999999999997
030680120262003,92.4,225,"1,496",64.0,,18.8,20.5,7.599999999999994
030680120262004,93.6,219,"1,496",64.4,,18.8,20.5,6.400000000000006
030680120262006,91.3,218,"1,496",64.2,,18.8,20.5,8.700000000000003
030680220260001,97.0,328,661,44.8,20.2,20.2,20.5,3.0
030680220262003,95.8,333,661,55.9,,20.2,20.5,4.200000000000003
040041000260001,52.7,"1,344","8,222",57.4,18.5,19.1,20.5,47.3
040041000260002,67.4,"1,485","8,222",41.5,19.7,19.1,20.5,32.599999999999994
040041000261002,48.9,835,"8,222",64.7,,19.1,20.5,51.1
040041000261003,62.1,"1,058","8,222",46.7,,19.1,20.5,37.9
040041000262003,74.1,428,"8,222",44.4,,19.1,20.5,25.900000000000006
040041000262005,45.7,599,"8,222",63.1,,19.1,20.5,54.3
040041000262007,56.9,304,"8,222",68.8,,19.1,20.5,43.1
040041000262008,43.6,870,"8,222",68.3,,19.1,20.5,56.4
040041000262009,52.4,643,"8,222",61.3,,19.1,20.5,47.6
040041000262010,61.7,656,"8,222",41.9,,19.1,20.5,38.3
040042000260003,70.3,529,"1,644",49.3,19.3,19.3,20.5,29.700000000000003
040042000261001,68.7,252,"1,644",51.2,,19.3,20.5,31.299999999999997
040042000262001,50.5,210,"1,644",51.9,,19.3,20.5,49.5
040042000262002,69.7,142,"1,644",42.3,,19.3,20.5,30.299999999999997
040042000262004,71.3,296,"1,644",36.8,,19.3,20.5,28.700000000000003
040042000262005,69.8,215,"1,644",48.8,,19.3,20.5,30.200000000000003
041011220220002,78.7,"2,171","6,860",46.7,20.1,20.1,20.5,21.299999999999997
041011220221005,77.8,"1,088","6,860",48.4,,20.1,20.5,22.200000000000003
041011220222005,72.0,354,"6,860",68.6,,20.1,20.5,28.0
041011220222006,71.5,295,"6,860",73.2,,20.1,20.5,28.5
041011220222007,79.3,334,"6,860",53.3,,20.1,20.5,20.700000000000003
041011220222008,68.9,357,"6,860",53.8,,20.1,20.5,31.099999999999994
041011220222010,87.2,360,"6,860",41.7,,20.1,20.5,12.799999999999997
041011220222011,78.2,431,"6,860",66.6,,20.1,20.5,21.799999999999997
041011220222013,76.1,461,"6,860",53.1,,20.1,20.5,23.900000000000006
041011220222014,80.6,403,"6,860",45.7,,20.1,20.5,19.400000000000006
041011220222015,77.9,606,"6,860",67.0,,20.1,20.5,22.099999999999994
041011310041002,87.6,636,"1,810",25.0,,,20.5,12.400000000000006
041011310042001,80.4,383,"1,810",29.8,,,20.5,19.599999999999994
041011310042002,84.9,403,"1,810",28.8,,,20.5,15.099999999999994
041011310042003,84.8,388,"1,810",26.3,,,20.5,15.200000000000003
041011330041001,89.9,375,748,19.7,,,20.5,10.099999999999994
041011330042001,87.7,373,748,17.4,,,20.5,12.299999999999997
041011340042001,95.9,121,121,30.6,,,20.5,4.099999999999994
041011400041001,87.2,545,"1,529",27.3,,,20.5,12.799999999999997
041011400042001,85.7,490,"1,529",30.0,,,20.5,14.299999999999997
041011400042002,86.4,494,"1,529",33.4,,,20.5,13.599999999999994
041012050250001,29.9,"2,053","28,650",79.3,19.9,18.3,20.5,70.1
041012050250002,37.1,"2,018","28,650",80.6,18.0,18.3,20.5,62.9
041012050250003,37.0,"1,805","28,650",75.2,18.1,18.3,20.5,63.0
041012050250004,31.6,"1,836","28,650",87.4,17.2,18.3,20.5,68.4
041012050251001,29.9,885,"28,650",89.3,,18.3,20.5,70.1
041012050251006,34.4,762,"28,650",73.8,,18.3,20.5,65.6
041012050251008,36.1,"1,005","28,650",84.9,,18.3,20.5,63.9
041012050251009,30.4,681,"28,650",91.5,,18.3,20.5,69.6
041012050251010,13.7,577,"28,650",97.9,,18.3,20.5,86.3
041012050252014,5.0,684,"28,650",94.4,,18.3,20.5,95.0
041012050252016,24.9,369,"28,650",98.1,,18.3,20.5,75.1
041012050252017,51.3,314,"28,650",86.3,,18.3,20.5,48.7
041012050252018,56.0,439,"28,650",59.7,,18.3,20.5,44.0
041012050252019,49.0,355,"28,650",72.4,,18.3,20.5,51.0
04101205025201C,14.9,315,"28,650",87.6,,18.3,20.5,85.1
041012050252020,70.6,194,"28,650",57.7,,18.3,20.5,29.400000000000006
041012050252022,31.8,415,"28,650",92.3,,18.3,20.5,68.2
041012050252024,6.4,451,"28,650",98.2,,18.3,20.5,93.6
041012050252027,46.4,455,"28,650",76.5,,18.3,20.5,53.6
041012050252029,39.9,333,"28,650",82.3,,18.3,20.5,60.1
04101205025202C,11.1,315,"28,650",81.6,,18.3,20.5,88.9
041012050252034,8.7,309,"28,650",99.4,,18.3,20.5,91.3
041012050252037,18.2,528,"28,650",95.3,,18.3,20.5,81.8
041012050252039,54.3,453,"28,650",72.0,,18.3,20.5,45.7
04101205025203C,10.6,501,"28,650",68.1,,18.3,20.5,89.4
041012050252040,19.5,267,"28,650",98.1,,18.3,20.5,80.5
041012050252041,13.9,402,"28,650",97.0,,18.3,20.5,86.1
041012050252043,25.6,387,"28,650",99.0,,18.3,20.5,74.4
041012050252046,33.5,340,"28,650",95.0,,18.3,20.5,66.5
041012050252047,24.0,459,"28,650",96.3,,18.3,20.5,76.0
041012050252051,26.6,579,"28,650",95.0,,18.3,20.5,73.4
041012050252054,41.9,731,"28,650",82.5,,18.3,20.5,58.1
041012050252056,38.3,399,"28,650",71.9,,18.3,20.5,61.7
041012050252059,48.5,274,"28,650",75.2,,18.3,20.5,51.5
041012050252062,26.6,455,"28,650",94.5,,18.3,20.5,73.4
041012050252063,46.7,302,"28,650",92.1,,18.3,20.5,53.3
041012050252064,31.5,359,"28,650",92.2,,18.3,20.5,68.5
041012050252066,34.3,353,"28,650",89.0,,18.3,20.5,65.7
041012050252067,67.1,304,"28,650",58.9,,18.3,20.5,32.900000000000006
041012050252078,68.1,514,"28,650",30.9,,18.3,20.5,31.900000000000006
041012050252080,7.8,309,"28,650",98.7,,18.3,20.5,92.2
041012050252082,24.3,428,"28,650",84.6,,18.3,20.5,75.7
041012050252084,9.4,404,"28,650",99.5,,18.3,20.5,90.6
041012050252085,40.2,503,"28,650",68.6,,18.3,20.5,59.8
041012050252086,27.5,"1,012","28,650",92.1,,18.3,20.5,72.5
041012050252087,67.0,373,"28,650",32.4,,18.3,20.5,33.0
041012070160001,87.0,"2,115","2,115",23.1,22.6,22.6,20.5,13.0
041013200260001,66.6,290,"1,048",63.8,19.3,19.3,20.5,33.400000000000006
041013200261002,58.3,151,"1,048",70.2,,19.3,20.5,41.7
041013200262003,62.6,230,"1,048",61.3,,19.3,20.5,37.4
041013200262004,60.3,214,"1,048",79.0,,19.3,20.5,39.7
041013200262005,58.9,163,"1,048",66.9,,19.3,20.5,41.1
041013210260001,95.3,276,886,21.7,21.0,21.0,20.5,4.700000000000003
041013210261001,89.6,269,886,26.0,,21.0,20.5,10.400000000000006
041013210262002,90.0,341,886,14.1,,21.0,20.5,10.0
041013220260001,96.5,200,601,29.0,19.9,19.9,20.5,3.5
041013220261001,93.6,94,601,26.6,,19.9,20.5,6.400000000000006
041013220262001,92.2,307,601,34.5,,19.9,20.5,7.799999999999997
041013230260001,86.4,478,"1,446",26.6,21.1,21.1,20.5,13.599999999999994
041013230261002,84.1,340,"1,446",32.9,,21.1,20.5,15.900000000000006
041013230262003,84.8,328,"1,446",35.1,,21.1,20.5,15.200000000000003
041013230262005,88.0,300,"1,446",33.7,,21.1,20.5,12.0
050160150041011,55.5,780,"12,745",12.3,,,20.5,44.5
050160150041014,45.4,538,"12,745",45.9,,,20.5,54.6
050160150041016,25.5,779,"12,745",53.0,,,20.5,74.5
050160150041018,60.3,695,"12,745",22.6,,,20.5,39.7
050160150042001,22.1,743,"12,745",71.1,,,20.5,77.9
050160150042003,37.6,590,"12,745",47.1,,,20.5,62.4
050160150042004,66.8,434,"12,745",6.0,,,20.5,33.2
050160150042005,46.0,615,"12,745",55.9,,,20.5,54.0
050160150042006,52.3,637,"12,745",16.2,,,20.5,47.7
050160150042007,24.5,864,"12,745",67.9,,,20.5,75.5
050160150042008,44.6,913,"12,745",53.8,,,20.5,55.4
050160150042009,43.9,799,"12,745",43.3,,,20.5,56.1
050160150042010,49.0,649,"12,745",6.2,,,20.5,51.0
050160150042013,36.0,658,"12,745",53.6,,,20.5,64.0
050160150042015,22.6,901,"12,745",67.4,,,20.5,77.4
050160150042018,43.7,627,"12,745",34.4,,,20.5,56.3
050160150042019,47.2,470,"12,745",48.7,,,20.5,52.8
050160150042020,42.4,512,"12,745",39.6,,,20.5,57.6
050160150042023,41.9,535,"12,745",15.9,,,20.5,58.1
050160210041002,58.7,703,"6,899",39.1,,,20.5,41.3
050160210041006,16.6,765,"6,899",79.2,,,20.5,83.4
050160210041007,34.3,642,"6,899",60.7,,,20.5,65.7
050160210042003,13.1,672,"6,899",79.9,,,20.5,86.9
050160210042004,29.4,686,"6,899",71.1,,,20.5,70.6
050160210042007,29.6,548,"6,899",66.4,,,20.5,70.4
050160210042009,77.4,420,"6,899",18.3,,,20.5,22.599999999999994
050160210042010,60.9,432,"6,899",36.6,,,20.5,39.1
050160210042011,69.0,336,"6,899",26.5,,,20.5,31.0
050160210042013,34.3,510,"6,899",53.1,,,20.5,65.7
050160210042014,8.3,565,"6,899",84.8,,,20.5,91.7
050160210042015,10.3,620,"6,899",86.6,,,20.5,89.7
050160230021002,66.7,517,"1,571",31.5,,,20.5,33.3
050160230022001,61.7,389,"1,571",40.9,,,20.5,38.3
050160230022004,70.1,301,"1,571",38.5,,,20.5,29.900000000000006
050160230022005,65.7,364,"1,571",36.3,,,20.5,34.3
050160250021014,83.5,868,"5,364",6.6,,,20.5,16.5
050160250021015,80.9,922,"5,364",4.7,,,20.5,19.099999999999994
050160250022002,81.6,511,"5,364",2.0,,,20.5,18.400000000000006
050160250022004,72.1,287,"5,364",2.1,,,20.5,27.900000000000006
050160250022005,51.2,580,"5,364",4.1,,,20.5,48.8
050160250022009,86.6,612,"5,364",1.5,,,20.5,13.400000000000006
050160250022011,85.0,461,"5,364",1.1,,,20.5,15.0
050160250022016,81.5,644,"5,364",2.0,,,20.5,18.5
050160250022018,75.8,479,"5,364",3.5,,,20.5,24.200000000000003
050160260021006,50.9,462,"1,433",40.0,,,20.5,49.1
050160260022001,31.9,499,"1,433",57.5,,,20.5,68.1
050160260022003,68.6,472,"1,433",20.6,,,20.5,31.400000000000006
050160270021005,83.0,435,"1,248",3.2,,,20.5,17.0
050160270022002,80.3,386,"1,248",2.6,,,20.5,19.700000000000003
050160270022004,81.5,427,"1,248",2.3,,,20.5,18.5
050160280021004,83.8,612,"1,718",8.2,,,20.5,16.200000000000003
050160280022002,78.5,410,"1,718",4.9,,,20.5,21.5
050160280022003,78.4,379,"1,718",7.7,,,20.5,21.599999999999994
050160280022006,77.6,317,"1,718",9.1,,,20.5,22.400000000000006
050160290022001,91.3,206,491,0.5,,,20.5,8.700000000000003
050160290022002,91.6,285,491,1.8,,,20.5,8.400000000000006
050160300021001,67.7,415,"1,126",2.7,,,20.5,32.3
050160300022002,70.3,337,"1,126",0.3,,,20.5,29.700000000000003
050160300022003,61.2,374,"1,126",4.5,,,20.5,38.8
050160310021001,53.1,309,907,22.3,,,20.5,46.9
050160310022002,46.2,598,907,23.9,,,20.5,53.8
050160340041006,68.2,871,"4,887",16.2,,,20.5,31.799999999999997
050160340041007,65.7,859,"4,887",30.3,,,20.5,34.3
050160340042001,58.9,525,"4,887",26.9,,,20.5,41.1
050160340042002,58.2,490,"4,887",33.1,,,20.5,41.8
050160340042003,64.5,609,"4,887",26.9,,,20.5,35.5
050160340042004,78.8,466,"4,887",17.4,,,20.5,21.200000000000003
050160340042005,79.1,545,"4,887",14.9,,,20.5,20.900000000000006
050160340042008,50.8,522,"4,887",34.9,,,20.5,49.2
050160350021001,91.6,593,"1,207",3.5,,,20.5,8.400000000000006
050160350022001,88.2,263,"1,207",0.4,,,20.5,11.799999999999997
050160350022002,87.5,351,"1,207",0.0,,,20.5,12.5
050160360021005,91.7,445,"1,807",0.2,,,20.5,8.299999999999997
050160360022001,91.4,395,"1,807",0.0,,,20.5,8.599999999999994
050160360022002,87.2,274,"1,807",0.0,,,20.5,12.799999999999997
050160360022003,86.6,253,"1,807",0.0,,,20.5,13.400000000000006
050160360022004,90.9,440,"1,807",0.2,,,20.5,9.099999999999994
050160370021001,58.9,263,713,9.5,,,20.5,41.1
050160370022003,58.0,450,713,6.9,,,20.5,42.0
050160380022001,91.8,497,497,0.0,,,20.5,8.200000000000003
050160390021008,78.7,891,"3,703",5.1,,,20.5,21.299999999999997
050160390022002,85.4,507,"3,703",2.4,,,20.5,14.599999999999994
050160390022003,82.9,432,"3,703",1.9,,,20.5,17.099999999999994
050160390022005,77.7,512,"3,703",2.0,,,20.5,22.299999999999997
050160390022006,63.1,515,"3,703",4.7,,,20.5,36.9
050160390022007,78.1,846,"3,703",3.9,,,20.5,21.900000000000006
050160540041001,48.1,622,"14,268",24.1,,,20.5,51.9
050160540041012,50.8,596,"14,268",23.3,,,20.5,49.2
050160540041018,33.1,568,"14,268",35.9,,,20.5,66.9
050160540041019,54.4,623,"14,268",18.3,,,20.5,45.6
050160540041020,32.2,559,"14,268",33.3,,,20.5,67.8
050160540042002,46.9,561,"14,268",36.0,,,20.5,53.1
050160540042003,30.7,476,"14,268",39.5,,,20.5,69.3
050160540042005,47.5,488,"14,268",18.0,,,20.5,52.5
050160540042006,48.6,477,"14,268",22.2,,,20.5,51.4
050160540042007,65.2,638,"14,268",18.3,,,20.5,34.8
050160540042008,53.1,414,"14,268",20.3,,,20.5,46.9
050160540042009,42.0,407,"14,268",12.8,,,20.5,58.0
050160540042010,38.1,554,"14,268",21.8,,,20.5,61.9
050160540042011,28.7,408,"14,268",49.0,,,20.5,71.3
050160540042013,27.1,436,"14,268",40.6,,,20.5,72.9
050160540042015,62.9,412,"14,268",20.9,,,20.5,37.1
050160540042018,24.9,539,"14,268",53.6,,,20.5,75.1
050160540042019,32.6,389,"14,268",41.1,,,20.5,67.4
050160540042022,18.6,457,"14,268",55.4,,,20.5,81.4
050160540042023,48.9,585,"14,268",21.2,,,20.5,51.1
050160540042026,29.6,449,"14,268",38.1,,,20.5,70.4
050160540042027,41.9,697,"14,268",22.1,,,20.5,58.1
050160540042028,40.7,462,"14,268",40.9,,,20.5,59.3
050160540042029,60.5,554,"14,268",15.7,,,20.5,39.5
050160540042030,23.3,498,"14,268",54.8,,,20.5,76.7
050160540042031,37.2,452,"14,268",42.9,,,20.5,62.8
050160540042032,63.0,384,"14,268",10.7,,,20.5,37.0
050160570021004,80.6,711,"2,252",11.4,,,20.5,19.400000000000006
050160570022002,77.9,507,"2,252",16.0,,,20.5,22.099999999999994
050160570022005,76.7,463,"2,252",9.3,,,20.5,23.299999999999997
050160570022008,74.3,571,"2,252",15.4,,,20.5,25.700000000000003
050160590041010,40.3,920,"7,010",60.0,,,20.5,59.7
050160590041012,35.1,533,"7,010",61.4,,,20.5,64.9
050160590041016,38.7,744,"7,010",59.5,,,20.5,61.3
050160590042001,43.8,450,"7,010",53.6,,,20.5,56.2
050160590042002,27.6,381,"7,010",70.1,,,20.5,72.4
050160590042003,68.9,421,"7,010",49.9,,,20.5,31.099999999999994
050160590042006,48.0,448,"7,010",57.6,,,20.5,52.0
050160590042008,46.3,488,"7,010",43.4,,,20.5,53.7
050160590042009,38.4,461,"7,010",71.8,,,20.5,61.6
050160590042014,11.4,431,"7,010",87.9,,,20.5,88.6
050160590042016,33.3,492,"7,010",66.5,,,20.5,66.7
050160590042018,23.1,451,"7,010",79.2,,,20.5,76.9
050160590042019,34.4,454,"7,010",62.6,,,20.5,65.6
050160590042020,58.9,336,"7,010",45.5,,,20.5,41.1
050160620041001,36.8,657,"4,793",64.1,,,20.5,63.2
050160620041003,48.1,671,"4,793",55.1,,,20.5,51.9
050160620042001,56.3,480,"4,793",31.3,,,20.5,43.7
050160620042002,66.2,317,"4,793",46.7,,,20.5,33.8
050160620042004,52.2,289,"4,793",47.8,,,20.5,47.8
050160620042005,50.1,605,"4,793",56.2,,,20.5,49.9
050160620042008,35.5,595,"4,793",76.3,,,20.5,64.5
050160620042009,14.3,314,"4,793",83.1,,,20.5,85.7
050160620042010,17.6,352,"4,793",82.7,,,20.5,82.4
050160620042011,34.5,261,"4,793",72.4,,,20.5,65.5
050160620042012,54.8,252,"4,793",40.9,,,20.5,45.2
050160630021003,34.6,775,"3,588",60.4,,,20.5,65.4
050160630022006,48.2,639,"3,588",60.1,,,20.5,51.8
050160630022008,31.4,491,"3,588",68.6,,,20.5,68.6
050160630022009,31.9,408,"3,588",65.0,,,20.5,68.1
050160630022010,55.5,310,"3,588",49.0,,,20.5,44.5
050160630022011,53.2,378,"3,588",44.7,,,20.5,46.8
050160630022012,26.9,587,"3,588",66.1,,,20.5,73.1
050160640041006,85.0,841,"4,555",12.4,,,20.5,15.0
050160640041007,88.4,727,"4,555",8.7,,,20.5,11.599999999999994
050160640042001,84.5,446,"4,555",7.8,,,20.5,15.5
050160640042004,83.0,657,"4,555",12.9,,,20.5,17.0
050160640042005,80.1,462,"4,555",12.6,,,20.5,19.900000000000006
050160640042011,88.6,665,"4,555",3.9,,,20.5,11.400000000000006
050160640042012,87.4,619,"4,555",8.9,,,20.5,12.599999999999994
050160640042013,91.3,138,"4,555",0.0,,,20.5,8.700000000000003
050160650041002,26.4,568,"7,655",63.2,,,20.5,73.6
050160650041007,58.9,799,"7,655",29.4,,,20.5,41.1
050160650041012,49.2,614,"7,655",37.0,,,20.5,50.8
050160650042004,28.4,356,"7,655",58.7,,,20.5,71.6
050160650042005,53.9,464,"7,655",30.2,,,20.5,46.1
050160650042009,52.3,560,"7,655",34.1,,,20.5,47.7
050160650042010,52.3,398,"7,655",30.9,,,20.5,47.7
050160650042014,26.2,450,"7,655",70.7,,,20.5,73.8
050160650042015,63.4,377,"7,655",25.2,,,20.5,36.6
050160650042019,29.2,346,"7,655",49.1,,,20.5,70.8
050160650042020,40.4,532,"7,655",47.9,,,20.5,59.6
050160650042021,59.7,521,"7,655",25.7,,,20.5,40.3
